area_responsecode,form_type,domain,type,filter_key,code,var_purpose,question_description,domain_description,programa,question_split
Banco de Socorros_totalDomains,formulario,,remove,remove,,,,,ATS,0
Banco de Socorros_domain1,formulario,dm1,remove,remove,,,,Oferta de Serviços,ATS,0
Banco de Socorros_domain2,formulario,dm2,remove,remove,,,,Disponibilidade do Material de apoio,ATS,0
Banco de Socorros_domain3,formulario,dm3,remove,remove,,,,Disponibilidade de Testes e consumíveis,ATS,0
Banco de Socorros_domain4,formulario,dm4,remove,remove,,,,Conhecimento do Material de apoio e instrumentos,ATS,0
Banco de Socorros_domain5,formulario,dm5,remove,remove,,,,FRF/FM,ATS,0
Banco de Socorros_domain6,formulario,dm6,remove,remove,,,,Mini AQD e preenchimento dos instrumentos,ATS,0
Banco de Socorros_domain7,formulario,dm7,remove,remove,,,,Ligação,ATS,0
Banco de Socorros_domain8,formulario,dm8,remove,remove,,,,Preechimento de Mapa de consumo de testes,ATS,0
Banco de Socorros_domain9,formulario,dm9,remove,remove,,,,DESEMPENHO GERAL,ATS,0
Banco de Socorros_dm1_question1,formulario,dm1,remove,remove,,,,Oferta de Serviços,ATS,0
Banco de Socorros_dm2_question1,formulario,dm2,remove,remove,,,,Disponibilidade do Material de apoio,ATS,0
Banco de Socorros_dm2_question2,formulario,dm2,remove,remove,,,,Disponibilidade do Material de apoio,ATS,0
Banco de Socorros_dm2_question3,formulario,dm2,remove,remove,,,,Disponibilidade do Material de apoio,ATS,0
Banco de Socorros_dm2_question4,formulario,dm2,remove,remove,,,,Disponibilidade do Material de apoio,ATS,0
Banco de Socorros_dm2_question5,formulario,dm2,remove,remove,,,,Disponibilidade do Material de apoio,ATS,0
Banco de Socorros_dm2_question6,formulario,dm2,remove,remove,,,,Disponibilidade do Material de apoio,ATS,0
Banco de Socorros_dm2_question7,formulario,dm2,remove,remove,,,,Disponibilidade do Material de apoio,ATS,0
Banco de Socorros_dm2_question8,formulario,dm2,remove,remove,,,,Disponibilidade do Material de apoio,ATS,0
Banco de Socorros_dm3_question1,formulario,dm3,remove,remove,,,,Disponibilidade de Testes e consumíveis,ATS,0
Banco de Socorros_dm3_question2,formulario,dm3,remove,remove,,,,Disponibilidade de Testes e consumíveis,ATS,0
Banco de Socorros_dm3_question3,formulario,dm3,remove,remove,,,,Disponibilidade de Testes e consumíveis,ATS,0
Banco de Socorros_dm3_question4,formulario,dm3,remove,remove,,,,Disponibilidade de Testes e consumíveis,ATS,0
Banco de Socorros_dm4_question1,formulario,dm4,remove,remove,,,,Conhecimento do Material de apoio e instrumentos,ATS,0
Banco de Socorros_dm4_question2,formulario,dm4,remove,remove,,,,Conhecimento do Material de apoio e instrumentos,ATS,0
Banco de Socorros_dm4_question3,formulario,dm4,remove,remove,,,,Conhecimento do Material de apoio e instrumentos,ATS,0
Banco de Socorros_dm4_question4,formulario,dm4,remove,remove,,,,Conhecimento do Material de apoio e instrumentos,ATS,0
Banco de Socorros_dm4_question5,formulario,dm4,remove,remove,,,,Conhecimento do Material de apoio e instrumentos,ATS,0
Banco de Socorros_dm4_question6,formulario,dm4,remove,remove,,,,Conhecimento do Material de apoio e instrumentos,ATS,0
Banco de Socorros_dm5_question1,formulario,dm5,remove,remove,,,,FRF/FM,ATS,0
Banco de Socorros_dm5_question2,formulario,dm5,remove,remove,,,,FRF/FM,ATS,0
Banco de Socorros_dm5_question3,formulario,dm5,remove,remove,,,,FRF/FM,ATS,0
Banco de Socorros_dm5_question4,formulario,dm5,remove,remove,,,,FRF/FM,ATS,0
Banco de Socorros_dm6_question1,formulario,dm6,remove,remove,,,,Mini AQD e preenchimento dos instrumentos,ATS,0
Banco de Socorros_dm6_question2,formulario,dm6,remove,remove,,,,Mini AQD e preenchimento dos instrumentos,ATS,0
Banco de Socorros_dm6_question3,formulario,dm6,remove,remove,,,,Mini AQD e preenchimento dos instrumentos,ATS,0
Banco de Socorros_dm6_question4,formulario,dm6,remove,remove,,,,Mini AQD e preenchimento dos instrumentos,ATS,0
Banco de Socorros_dm6_question5,formulario,dm6,remove,remove,,,,Mini AQD e preenchimento dos instrumentos,ATS,0
Banco de Socorros_dm6_question6,formulario,dm6,remove,remove,,,,Mini AQD e preenchimento dos instrumentos,ATS,0
Banco de Socorros_dm6_question7,formulario,dm6,remove,remove,,,,Mini AQD e preenchimento dos instrumentos,ATS,0
Banco de Socorros_dm6_question8,formulario,dm6,remove,remove,,,,Mini AQD e preenchimento dos instrumentos,ATS,0
Banco de Socorros_dm6_question9,formulario,dm6,remove,remove,,,,Mini AQD e preenchimento dos instrumentos,ATS,0
Banco de Socorros_dm6_question10,formulario,dm6,remove,remove,,,,Mini AQD e preenchimento dos instrumentos,ATS,0
Banco de Socorros_dm6_question11,formulario,dm6,remove,remove,,,,Mini AQD e preenchimento dos instrumentos,ATS,0
Banco de Socorros_dm6_question12,formulario,dm6,remove,remove,,,,Mini AQD e preenchimento dos instrumentos,ATS,0
Banco de Socorros_dm6_question13,formulario,dm6,remove,remove,,,,Mini AQD e preenchimento dos instrumentos,ATS,0
Banco de Socorros_dm6_question14,formulario,dm6,remove,remove,,,,Mini AQD e preenchimento dos instrumentos,ATS,0
Banco de Socorros_dm6_question15,formulario,dm6,remove,remove,,,,Mini AQD e preenchimento dos instrumentos,ATS,0
Banco de Socorros_dm6_question16,formulario,dm6,remove,remove,,,,Mini AQD e preenchimento dos instrumentos,ATS,0
Banco de Socorros_dm7_question1,formulario,dm7,remove,remove,,,,Ligação,ATS,0
Banco de Socorros_dm7_question2,formulario,dm7,remove,remove,,,,Ligação,ATS,0
Banco de Socorros_dm8_question1,formulario,dm8,remove,remove,,,,Preechimento de Mapa de consumo de testes,ATS,0
Banco de Socorros_generated_note_name_95,formulario,,remove,remove,,,,,ATS,0
Banco de Socorros_groupForm.group1.dm1_q1,formulario,dm1,select_one yesNoNA,keep,dm1_q1,,1.Verifique se é oferecido ATS neste serviço?,Oferta de Serviços,ATS,dm1_q1
Banco de Socorros_groupForm.group2.dm2_q1,formulario,dm2,remove,remove,,,,Disponibilidade do Material de apoio,ATS,0
Banco de Socorros_groupForm.group2.dm2_q2,formulario,dm2,select_one yesNoNA,keep,dm2_q2,,2.1 Algorítmo de testagem rápida de HIV?,Disponibilidade do Material de apoio,ATS,dm2_q2
Banco de Socorros_groupForm.group2.dm2_q3,formulario,dm2,select_one yesNoNA,keep,dm2_q3,,2.2 Procedimento operacional padrão para o teste Determine?,Disponibilidade do Material de apoio,ATS,dm2_q3
Banco de Socorros_groupForm.group2.dm2_q4,formulario,dm2,select_one yesNoNA,keep,dm2_q4,,2.3 Procedimento operacional padrão para o teste Unigold?,Disponibilidade do Material de apoio,ATS,dm2_q4
Banco de Socorros_groupForm.group2.dm2_q5,formulario,dm2,select_one yesNoNA,keep,dm2_q5,,2.4 Procedimento operacional padrão para punção digital?,Disponibilidade do Material de apoio,ATS,dm2_q5
Banco de Socorros_groupForm.group2.dm2_q6,formulario,dm2,select_one yesNoNA,keep,dm2_q6,,2.5 Algorítmo de elegibilidade para ATS em crianças e adolescentes 0-14 anos?,Disponibilidade do Material de apoio,ATS,dm2_q6
Banco de Socorros_groupForm.group2.dm2_q7,formulario,dm2,select_one yesNoNA,keep,dm2_q7,,2.6 Algoritmo de elegibilidade para ATS em adolescentes e adultos 15 anos +?,Disponibilidade do Material de apoio,ATS,dm2_q7
Banco de Socorros_groupForm.group2.dm2_q8,formulario,dm2,select_one yesNoNA,keep,dm2_q8,,2.7 Cartão do Utente,Disponibilidade do Material de apoio,ATS,dm2_q8
Banco de Socorros_groupForm.groupDS2.naCountG2,formulario,dm2,calculate,keep,naCountG2,naCount,,Disponibilidade do Material de apoio,ATS,naCountG2
Banco de Socorros_groupForm.groupDS2.yesCountG2,formulario,dm2,calculate,keep,yesCountG2,yesCount,,Disponibilidade do Material de apoio,ATS,yesCountG2
Banco de Socorros_groupForm.groupDS2.noCountG2,formulario,dm2,calculate,keep,noCountG2,noCount,,Disponibilidade do Material de apoio,ATS,noCountG2
Banco de Socorros_groupForm.groupDS2.domainScore2,formulario,dm2,calculate,keep,domainScore,domain_score,,Disponibilidade do Material de apoio,ATS,domainScore
Banco de Socorros_groupForm.groupDS2.yesCountG2_view,formulario,dm2,remove,remove,,,,Disponibilidade do Material de apoio,ATS,0
Banco de Socorros_groupForm.groupDS2.noCountG2_view,formulario,dm2,remove,remove,,,,Disponibilidade do Material de apoio,ATS,0
Banco de Socorros_groupForm.groupDS2.Domain2_result_view,formulario,dm2,remove,remove,,,,Disponibilidade do Material de apoio,ATS,0
Banco de Socorros_groupForm.group3.group3a.dm3_q1,formulario,dm3,remove,remove,,,,Disponibilidade de Testes e consumíveis,ATS,0
Banco de Socorros_groupForm.group3.group3a.dm3_q2,formulario,dm3,select_one yesNoNA,keep,dm3_q2,,"3.1 KIT de Teste de HIV Determine completo (teste, solução tampão e tubo capilar) e dentro do prazo?",Disponibilidade de Testes e consumíveis,ATS,dm3_q2
Banco de Socorros_groupForm.group3.group3a.dm3_q3,formulario,dm3,select_one yesNoNA,keep,dm3_q3,,"3.2 KIT de Teste de HIV Unigold completo (teste, solução tampão e pipeta) e dentro do prazo?",Disponibilidade de Testes e consumíveis,ATS,dm3_q3
Banco de Socorros_groupForm.group3.group3a.dm3_q4,formulario,dm3,select_one yesNoNA,keep,dm3_q4,,3.3 Preservativos?,Disponibilidade de Testes e consumíveis,ATS,dm3_q4
Banco de Socorros_groupForm.groupDS3.naCountG3,formulario,dm3,calculate,keep,naCountG3,naCount,,Disponibilidade de Testes e consumíveis,ATS,naCountG3
Banco de Socorros_groupForm.groupDS3.yesCountG3,formulario,dm3,calculate,keep,yesCountG3,yesCount,,Disponibilidade de Testes e consumíveis,ATS,yesCountG3
Banco de Socorros_groupForm.groupDS3.noCountG3,formulario,dm3,calculate,keep,noCountG3,noCount,,Disponibilidade de Testes e consumíveis,ATS,noCountG3
Banco de Socorros_groupForm.groupDS3.domainScore3,formulario,dm3,calculate,keep,domainScore3,domain_score,,Disponibilidade de Testes e consumíveis,ATS,domainScore3
Banco de Socorros_groupForm.groupDS3.yesCountG3_view,formulario,dm3,remove,remove,yesCountG3_view,,,Disponibilidade de Testes e consumíveis,ATS,yesCountG3_view
Banco de Socorros_groupForm.groupDS3.noCountG3_view,formulario,dm3,remove,remove,noCountG3_view,,,Disponibilidade de Testes e consumíveis,ATS,noCountG3_view
Banco de Socorros_groupForm.groupDS3.Domain3_result_view,formulario,dm3,remove,remove,Domain3_result_view,,,Disponibilidade de Testes e consumíveis,ATS,Domain3_result_view
Banco de Socorros_groupForm.group4.group4a.dm4_q1,formulario,dm4,select_one yesNoNA,keep,dm4_q1,,4.1. O provedor sabe interpretar o algoritmo de elegibilidade para ATS em crianças e adolescentes 0-14 anos?,Conhecimento do Material de apoio e instrumentos,ATS,dm4_q1
Banco de Socorros_groupForm.group4.group4a.dm4_q2,formulario,dm4,select_one yesNoNA,keep,dm4_q2,,4.2 O provedor sabe interpretar o algoritmo de elegibilidade para ATS em adultos 15 anos +?,Conhecimento do Material de apoio e instrumentos,ATS,dm4_q2
